=======================================================================================
STRINGS DATA FILE
=======================================================================================

=======================================================================================
*BEGIN*
=======================================================================================

Language Version 1                                     := (English)
Display_Obj 10                                         := f_srf_buttons_control_panel
Display_Obj 11                                         := f_srf_buttons_main_command
Display_Obj 12                                         := f_srf_buttons_main_orders
Display_Obj 13                                         := f_srf_dlg_help_box
Display_Obj 14                                         := 
Display_Obj 15                                         := ls
Display_Obj 16                                         := Captain:
Display_Obj 17                                         := Uninhabited
Display_Obj 18                                         := Speed:
Display_Obj 19                                         := Target ID:
Display_Obj 20                                         := Waypoint
Display_Obj 21                                         := Stardate
Display_Obj 22                                         := Time 1/8X
Display_Obj 23                                         := Time 1/4X
Display_Obj 24                                         := Time 1/2X
Display_Obj 25                                         := Time 2X
Display_Obj 26                                         := Time 4X
Display_Obj 27                                         := Time 8X
Display_Obj 28                                         := icon selection
Display_Obj 29                                         := icon targeting
Display_Obj 30                                         := Hex Icon Selected Hex
Display_Obj 31                                         := Icon Movement Step Ball
DlgDisplaySettings 1                                   := Display Setup
DlgDisplaySettings 2                                   := Display Driver
DlgDisplaySettings 3                                   := Video Mode
DlgDisplaySettings 4                                   := 3D Device
DlgDisplaySettings 5                                   := Full Screen Antialiasing
DlgDisplaySettings 6                                   := Off
DlgDisplaySettings 7                                   := On
DlgDisplaySettings 8                                   := Video Memory Usage
DlgDisplaySettings 9                                   := Auto
DlgDisplaySettings 10                                  := Safe
DlgDisplaySettings 11                                  := Sight Distance
DlgDisplaySettings 12                                  := Medium
DlgDisplaySettings 13                                  := Low
DlgDisplaySettings 14                                  := High
DlgDisplaySettings 15                                  := Graphic Detail
DlgDisplaySettings 16                                  := Background Detail
DlgDisplaySettings 17                                  := Close
DlgDisplaySettings 18                                  := Change
DlgDisplaySettings 19                                  := Display Drivers
DlgDisplaySettings 20                                  := Video Modes
DlgDisplaySettings 21                                  := 3D Devices
DlgDisplaySettings 22                                  := Low
DlgDisplaySettings 23                                  := Medium
DlgDisplaySettings 24                                  := High
DlgList 1                                              := OK
DlgList 2                                              := Cancel
DlgStartup 1                                           := Play
DlgStartup 2                                           := Setup
DlgStartup 3                                           := Website
DlgStartup 4                                           := Uninstall
DlgStartup 5                                           := Quit
DlgStartup 6                                           := Version:
DlgStartup 7                                           := open
DlgStartup 8                                           := unwise.exe
DlgStartup 9                                           := 1024 x 768 x 32
DlgStartup 10                                          := Readme
DlgStartup 11                                          := History
DlgStartup 12                                          := Manual
Empire 1                                               := Normal Ship Experience
Empire 2                                               := Load Error
Empire 3                                               := Unable to open Repair Priorities file "
Empire 4                                               := Emp Race Traits =
Empire 5                                               := First Ones
Empire 6                                               := Stellar Ancients
Empire 7                                               := God-like
Empire 8                                               := Ancient
Empire 9                                               := Old
Empire 10                                              := Moderate
Empire 11                                              := Young
Empire 12                                              := Infantile
Empire 13                                              := Newborn
Empire 14                                              := [%EmpireName%]
Empire 15                                              := Dead Empire
Empire 16                                              := Dead Player
Empire 17                                              := [%Password%]
Empire 18                                              := Normal Fleet Experience
EmpireList 1                                           := Ship Type
EmpireList 2                                           := Design Date
EmpireList 3                                           := Ship Size
EmpireList 4                                           := Ship Damage
Empire_ColonyTypes 1                                   := Default Design Type Data File Errors
Empire_ColonyTypes 2                                   := Name
Empire_DesignTypes 1                                   := Default Design Type Data File Errors
Empire_DesignTypes 2                                   := Name
Empire_EventLogTypes 1                                 := LargePortrait_
Empire_Fleet 1                                         := Task Force 1
Empire_Fleet 2                                         := Fleet
Empire_Fleet 3                                         := System
Empire_Fleet 4                                         := Task Force
Empire_Fleet 5                                         := Endless
Empire_Fleet 6                                         := Normal Fleet Experience
Empire_Happiness 1                                     := Plr
Empire_Happiness 2                                     := Happiness Change =
Empire_Happiness 3                                     := [%PlanetName%]
Empire_Happiness 4                                     := the loss of our homeworld
Empire_Happiness 5                                     := our recent planet losses
Empire_Happiness 6                                     := the planets we've colonized
Empire_Happiness 7                                     := our planets which have been captured
Empire_Happiness 8                                     := the planets we have captured
Empire_Happiness 9                                     := our recent ship losses
Empire_Happiness 10                                    := our increased ship construction
Empire_Happiness 11                                    := our recent wars
Empire_Happiness 12                                    := our non-intercourse treaty
Empire_Happiness 13                                    := our lack of treaties
Empire_Happiness 14                                    := our non-aggression treaty
Empire_Happiness 15                                    := our subjugation
Empire_Happiness 16                                    := our protectorate status
Empire_Happiness 17                                    := our subjugation of other races
Empire_Happiness 18                                    := our protectorate of other races
Empire_Happiness 19                                    := our trade alliance
Empire_Happiness 20                                    := our trade and research treaty
Empire_Happiness 21                                    := our military alliance
Empire_Happiness 22                                    := our partnership treaty
Empire_Happiness 23                                    := our recent battle victories
Empire_Happiness 24                                    := our recent battle losses
Empire_Happiness 25                                    := our recent stalemated battles
Empire_Happiness 26                                    := the enemy ships near our colonies
Empire_Happiness 27                                    := the military protection provided to our colonies
Empire_Happiness 28                                    := the enemy troops on our planets
Empire_Happiness 29                                    := our defensive troops on our planets
Empire_Happiness 30                                    := the many people who have been killed
Empire_Happiness 31                                    := our increased facility construction
Empire_Happiness 32                                    := our population being ravaged by plagues
Empire_Happiness 33                                    := our natural happiness
Empire_Happiness 34                                    := [%SystemName%]
Empire_Happiness 35                                    := [%MoodReason%]
Empire_Intelligence 1                                  := (None)
Empire_Knowledge 1                                     := Possible Report Variance
Empire_Knowledge 2                                     := Number of Solar Systems
Empire_Knowledge 3                                     := Number of Colonies
Empire_Knowledge 4                                     := Number of Races
Empire_Knowledge 5                                     := Total Population
Empire_Knowledge 6                                     := Minerals Production
Empire_Knowledge 7                                     := Organics Production
Empire_Knowledge 8                                     := Radioactives Production
Empire_Knowledge 9                                     := Research
Empire_Knowledge 10                                    := Intelligence
Empire_Knowledge 11                                    := Estimated Vehicle Amounts
Empire_Knowledge 12                                    := Unknown
Empire_Knowledge 13                                    := No report available at this time.
Empire_Knowledge 14                                    := Estimated Technology Levels
Empire_Knowledge 15                                    := Level
Empire_RacialTraits 1                                  := Racial Trait:
Empire_RacialTraits 2                                  := Cultural Trait:
Empire_Research 1                                      := [%Level%]
Empire_Research 2                                      := [%Base_Cost%]
Empire_Research 3                                      := [%TechLevel%]
Empire_Research 4                                      := [%TechName%]
Empire_Research 5                                      := [%ItemName%]
Empire_Research 6                                      := All
Empire_Research 7                                      := Theoretical Science
Empire_Research 8                                      := Applied Science
Empire_Research 9                                      := Weapon Technology
Empire_Research 10                                     := Cultural Advancement
Empire_Research 11                                     := [%ItemLevel%]
Empire_StratagemList 1                                 := (Blank)
Empire_StratagemList 2                                 := Default Strategies Data File Errors
Empire_StratagemList 3                                 := Name
Empire_StratagemList 4                                 := Targeting Priority [%TargetPriorityNum%]
Empire_StratagemList 5                                 := Number Of Target Type Settings
Empire_StratagemList 6                                 := [%TargetTypeNum%]
Empire_StratagemList 7                                 := Target Type [%TargetTypeNum%] Name
Empire_StratagemList 8                                 := Target Type [%TargetTypeNum%] Engage Distance
Empire_StratagemList 9                                 := Target Type [%TargetTypeNum%] Damage Amount
Empire_StratagemList 10                                := Retreat Immediately
Empire_StratagemList 11                                := Break Formation Immediately
Empire_StratagemList 12                                := Break Formation If Core Ships Lost
Empire_StratagemList 13                                := Reload Supplies During Combat If Needed
Empire_StratagemList 14                                := Reload Ordnance During Combat If Needed
Empire_StratagemList 15                                := Launch All Units During Combat
Empire_StratagemList 16                                := Retreat
Empire_StratagemList 17                                := Retreat When All Weapons Damaged
Empire_StratagemList 18                                := Retreat Movement Type
Empire_StratagemList 19                                := Drop Troops On Enemy Planets
Empire_StratagemList 20                                := Capture Enemy Ships
Empire_StratagemList 21                                := [%TargetPriorityNum%]
Empire_StratagemList 22                                := Retreat Warp Point Assault
Empire_StratagemList 23                                := Retreat Warp Point Defense
Empire_StratagemList 24                                := Retreat Colony Defense
Empire_StratagemList 25                                := Retreat Base Defense
Empire_StratagemList 26                                := Retreat Attacking
Empire_StratagemList 27                                := Retreat Defending
Empire_StratagemList 28                                := Retreat Do Not Leave Sector
EndTurn 1                                              := Continue TCP/IP
EndTurn 2                                              := Do you wish to continue this game in TCP/IP Host Mode?
EndTurn 3                                              := [%AllianceName%]
EndTurn 4                                              := [%EmpireName%]
EndTurn 5                                              := [%UnitName%]
EndTurn 6                                              := [%SectorLoc%]
EndTurn 7                                              := [%SystemName%]
EndTurn 8                                              := [%ShipName%]
EndTurn 9                                              := [%NumItems%]
EndTurn 10                                             := [%ItemName%]
EndTurn 11                                             := [%PlanetName%]
EndTurn 12                                             := [%FacilityName%]
EndTurn 13                                             := [%MaxUnits%]
EndTurn 14                                             := [%MaxShips%]
EndTurn 15                                             := [%DesignName%]
EndTurn 16                                             := [%VehicleName%]
EndTurn 17                                             := [%SystemName%]
EndTurn 18                                             := [%LevelNum%]
EndTurn 19                                             := [%FromName%]
EndTurn 20                                             := [%ProvidedList%]
EndTurn_CommandLine 1                                  := nd
EndTurn_CommandLine 2                                  := Invalid Data Files
EndTurn_CommandLine 3                                  := The data files currently being used do not match the
EndTurn_CommandLine 4                                  := data files that were used when this game was started.
EndTurn_CommandLine 5                                  := Please check with your host to get the correct data files.
ExecMnip 1                                             := [%SectorLoc%]
ExecMnip 2                                             := [%SystemName%]
ExecMnip 3                                             := [%EmpireName%]
ExecMnip 4                                             := [%ShipName%]
ExecMnip 5                                             := [%ToSystemName%]
ExecMnip 6                                             := [%FromSystemName%]
ExecMnip 7                                             := [%MaxWarpPoints%]
ExecMnip 8                                             := [%SystemDistance%]
ExecMnip 9                                             := [%WPSectorLoc%]
ExecMnip 10                                            := [%WPToSectorLoc%]
ExecMnip 11                                            := Storm
ExecMnip 12                                            := This storm is opaque to most scanners.
ExecMnip 13                                            := Turbulence causes damage to space vehicles.
ExecMnip 14                                            := Ion radiation renders all shields useless.
ExecMnip 15                                            := [%PopDead%]
ExecMnip 16                                            := [%PlanetName%]
ExecMnip 17                                            := Star
ExecMnip 18                                            := [%NumColonies%]
ExecMnip 19                                            := [%TotalPopulation%]
ExecMnip 20                                            := [%NumShips%]
ExecMnip 21                                            := [%VehicleType%]
ExecMnip 22                                            := [%ConstructionName%]
ExecMnip 23                                            := System_BlackHole1.bmp
ExecMnip 24                                            := 16
ExecMnip 25                                            := System_BlackHole2.bmp
ExecMnip 26                                            := 17
ExecMnip 27                                            := System_BlackHole3.bmp
ExecMnip 28                                            := 18
ExecMnip 29                                            := System_BlackHole4.bmp
ExecMnip 30                                            := 19
ExecMnip 31                                            := System_BlackHole5.bmp
ExecMnip 32                                            := 20
ExecMnip 33                                            := Black Hole Clouds 001a
ExecMnip 34                                            := Black Hole Clouds 001b
ExecMnip 35                                            := Black Hole Clouds 001c
ExecMnip 36                                            := Black Hole Clouds 001d
ExecMnip 37                                            := Black Hole Clouds 002a
ExecMnip 38                                            := Black Hole Clouds 002b
ExecMnip 39                                            := Black Hole Clouds 002c
ExecMnip 40                                            := Black Hole Clouds 002d
ExecMnip 41                                            := Black Hole Clouds 003a
ExecMnip 42                                            := Black Hole Clouds 003b
ExecMnip 43                                            := Black Hole Clouds 003c
ExecMnip 44                                            := Black Hole Clouds 003d
ExecMnip 45                                            := Black Hole Clouds 004a
ExecMnip 46                                            := Black Hole Clouds 004b
ExecMnip 47                                            := Black Hole Clouds 004c
ExecMnip 48                                            := Black Hole Clouds 004d
ExecMnip 49                                            := Black Hole Clouds 005a
ExecMnip 50                                            := Black Hole Clouds 005b
ExecMnip 51                                            := Black Hole Clouds 005c
ExecMnip 52                                            := Black Hole Clouds 005d
ExecOrdr 1                                             := Damage Taken
ExecOrdr 2                                             := [%SectorLoc%]
ExecOrdr 3                                             := [%SystemName%]
ExecOrdr 4                                             := Move
ExecOrdr 5                                             := [%VehicleName%]
ExecOrdr 6                                             := [%FailureReason%]
ExecOrdr 7                                             := [%ShipsKilled%]
ExecOrdr 8                                             := [%VehicleType%]
ExecOrdr 9                                             := [%MinesSwept%]
ExecOrdr 10                                            := [%EmpireName%]
ExecOrdr 11                                            := [%NumVehiclesKilled%]
ExecOrdr 12                                            := [%NumMinesSwept%]
ExecOrdr 13                                            := [%PlanetType%]
ExecOrdr 14                                            := [%ShipName%]
ExecOrdr 15                                            := No cargo can be loaded from
ExecOrdr 16                                            := because it is quarantined with a plague.
ExecOrdr 17                                            := Load Cargo
ExecOrdr 18                                            := We cannot load cargo from a plagued planet
ExecOrdr 19                                            := We cannot drop cargo to a plagued planet
ExecOrdr 20                                            := [%ErrorMessage%]
ExecOrdr 21                                            := [%PlanetName%]
ExecOrdr 22                                            := [%NumItemsScrapped%]
ExecOrdr 23                                            := [%MineralAmount%]
ExecOrdr 24                                            := [%OrganicsAmount%]
ExecOrdr 25                                            := [%RadioactivesAmount%]
ExecOrdr 26                                            := [%MessageText%]
ExecOrdr 27                                            := [%FromResourceAmount%]
ExecOrdr 28                                            := [%FromResourceType%]
ExecOrdr 29                                            := [%ToResourceAmount%]
ExecOrdr 30                                            := [%ToResourceType%]
ExecOrdr 31                                            := Mine Explosion 1
ExecOrdr 32                                            := [%AllyEmpireName%]
ExecuteOrders_AfterLocal 1                             := [%ShipName%]
ExecuteOrders_AfterLocal 2                             := [%SectorLoc%]
ExecuteOrders_AfterLocal 3                             := [%SystemName%]
ExecuteOrders_AfterLocal 4                             := [%WarpPointName%]
ExecuteOrders_AfterLocal 5                             := [%PlanetName%]
ExecuteOrders_AfterLocal 6                             := Rock
ExecuteOrders_AfterLocal 7                             := Ice
ExecuteOrders_AfterLocal 8                             := Gas
ExecuteOrders_AfterLocal 9                             := None
ExecuteOrders_AfterLocal 10                            := Oxygen
ExecuteOrders_AfterLocal 11                            := Methane
ExecuteOrders_AfterLocal 12                            := Hydrogen
ExecuteOrders_AfterLocal 13                            := Carbon Dioxide
FrmMain 1                                              := FPS:
FrmMain 2                                              := Space Empires V
FrmMain 3                                              := Windowed
GameOptions 1                                          := master
GameSaveLoad 1                                         := Loading Game
GameSaveLoad 2                                         := Loading Data Files
GameSaveLoad 3                                         := Loading Bitmaps
GameSaveLoad 4                                         := Load Error
GameSaveLoad 5                                         := Unable to load game "
GameSaveLoad 6                                         := Demo Time Expired
GameSaveLoad 7                                         := This demo will only allow you to play for 100 turns.
GameSaveLoad 8                                         := Thank you for playing Space Empires V.
GameSaveLoad 9                                         := Saving Game
GameSaveLoad 10                                        := AutoSav
GameSaveLoad 11                                        := 
GameSaveLoad 12                                        := 
GameSaveLoad 13                                        := Turn Based
GameSaveLoad 14                                        := Simultaneous
GameSaveLoad 15                                        := Same Machine
GameSaveLoad 16                                        := Different Machines
GameSaveLoad 17                                        := 
GameSaveLoad 18                                        := Alive
GameSaveLoad 19                                        := Dead
GameSaveLoad 20                                        := Save Error
GameSaveLoad 21                                        := Unable to save game "
GameSaveLoad 22                                        := Unable to load map "
GameSaveLoad 23                                        := Unable to save map "
GameSaveLoad 24                                        := Unable to load game setup "
GameSaveLoad 25                                        := Unable to save game setup "
GameSaveLoad 26                                        := Unable to load empire "
GameSaveLoad 27                                        := Unable to save empire "
GameSaveLoad 28                                        := Unable to save Player Changes File "
GameSaveLoad 29                                        := The player file "
GameSaveLoad 30                                        := " is for date
GameSaveLoad 31                                        := , but the current game date is
GameSaveLoad 32                                        := . Do you want to continue processing the turn?
GameSaveLoad 33                                        := (this player will be controlled by the computer for this turn)
GameSaveLoad 34                                        := Player File Error
GameSaveLoad 35                                        := " is for a different turn
GameSaveLoad 36                                        := than the current game. Do you want to continue processing the turn?
GameSaveLoad 37                                        := " is for a different game
GameSaveLoad 38                                        := than this one. Do you want to continue processing the turn?
GameSaveLoad 39                                        := " is for a different executable
GameSaveLoad 40                                        := Unable to save file "
GameSaveLoad 41                                        := Unable to load file "
GameTactCommands 1                                     := Please select target for Move To order...
GameTactCommands 2                                     := Select Waypoint
GameTactCommands 3                                     := Please select target for Warp order...
GameTactCommands 4                                     := Please select target for Colonize order...
GameTactCommands 5                                     := Please select target for Load Cargo order...
GameTactCommands 6                                     := Please select target for Drop Cargo order...
GameTactCommands 7                                     := Please select target for Attack order...
GameTactCommands 8                                     := Please select target for Transfer Cargo order...
GameTactCommands 9                                     := Please select target for Transfer Units order...
GameTactCommands 10                                    := Please select 1st Patrol location...
GameTactCommands 11                                    := Are you sure you want to abandon this planet?
GameTactCommands 12                                    := Abandon Planet
GameTactCommands 13                                    := Are you sure you want to scrap these vehicles?
GameTactCommands 14                                    := The expected scrap value of these vehicles is
GameTactCommands 15                                    := Minerals,
GameTactCommands 16                                    := Organics, and
GameTactCommands 17                                    := Radioactives.
GameTactCommands 18                                    := Are you sure you want to deconstruct and analyze these vehicles?
GameTactCommands 19                                    := The expected benefits from the analysis are
GameTactCommands 20                                    := Are you sure you want to mothball these vehicles?
GameTactCommands 21                                    := Are you sure you want to unmothball these vehicles?
GameTactCommands 22                                    := The unmothballing of these vehicles is expected to cost
GameTactCommands 23                                    := Are you sure you want to self-destruct these vehicles?
GameTactCommands 24                                    := Are you sure you want to fire on and destroy these vehicles?
GameTactCommands 25                                    := Change Name
GameTactCommands 26                                    := Please enter a new name for the fleet.
GameTactCommands 27                                    := New Name
GameTactCommands 28                                    := ship
GameTactCommands 29                                    := planet
GameTactCommands 30                                    := unit group
GameTactCommands 31                                    := Please enter a new name for the [%VehicleType%].
GameTactCommands 32                                    := Select Retrofit Design
GameTactCommands 33                                    := Jettison Cargo
GameTactCommands 34                                    := Scrap Cargo
GameTactCommands 35                                    := Convert Resources
GameTactCommands 36                                    := You cannot abandon a planet which has over
GameTactCommands 37                                    := people on it.
GameTactCommands 38                                    := Do you want to scrap all of the facilities and cargo on the planet before leaving?
GameTactCommands 39                                    := Scrap
GameTactCommands 40                                    := Analyze
GameTactCommands 41                                    := Mothball
GameTactCommands 42                                    := Unmothball
GameTactCommands 43                                    := Self Destruct
GameTactCommands 44                                    := Fire On
GameTactCommands 45                                    := None
GameTactCommands 46                                    := [%NumItems%]
GameTactCommands 47                                    := [%ShipName%]
GameTactCommands 48                                    := [%MineralsAmount%]
GameTactCommands 49                                    := [%OrganicsAmount%]
GameTactCommands 50                                    := [%RadioactivesAmount%]
GameTactCommands 51                                    := Please select
GameTactCommands 52                                    := Patrol location...
GameTactCommands 53                                    := Select Planet
GameTactCommands 54                                    := Select Target
GameTactCommands 55                                    := Welect Warp Point
GameTactCommands 56                                    := Select Destination
GameTactCommands 57                                    := Enter New Name
GameTactCommands 58                                    := Invalid Name
GameTactCommands 59                                    := That name is already in use.
GameTactCommands 60                                    := M people on it.
GameTactCommands 61                                    := Scrap Facilities
GameTactCommands 62                                    := Do you want to scrap all of the facilities on the planet before leaving?
GameTactCommands 63                                    := Please select target for
GameTactCommands 64                                    := order...
GameTactCommands 65                                    := Select
GameTactCommands 66                                    := Patrol location (select ship to end)...
GameTactCommands 67                                    := Please select planet to colonize:
GameTactCommands 68                                    := Please select target to attack:
GameTactCommands 69                                    := Please select warp connection to use:
GameTactCommands 70                                    := Please select destination for cargo:
GameTactCommands 71                                    := Please select fleet:
GameTactCommands 72                                    := Waypoint
GameTactCommands 73                                    := Please select location for waypoint...
GameTactCommands 74                                    := Please select location to add Tagged Minefield...
GameTactCommands 75                                    := Please select location to remove Tagged Minefield...
GameTactCommands 76                                    := Select Pickup Location
GameTactCommands 77                                    := Select Drop Off Location
GameTactCommands 78                                    := Please select target for Open Warp Point order...
GameTactCommands 79                                    := Please select target for Close Warp Point order...
GameTactCommands 80                                    := Please select target for Create Storm order...
GameTactCommands 81                                    := Please select target for Destroy Storm order...
GameTactCommands 82                                    := Please select target for Create Planet order...
GameTactCommands 83                                    := Please select target for Destroy Planet order...
GameTactCommands 84                                    := Please select target for Create Star order...
GameTactCommands 85                                    := Please select target for Destroy Star order...
GameTactCommands 86                                    := Please select target for Create Nebulae order...
GameTactCommands 87                                    := Please select target for Destroy Nebulae order...
GameTactCommands 88                                    := Please select target for Create Black Hole order...
GameTactCommands 89                                    := Please select target for Destroy Black Hole order...
GameTactCommands 90                                    := Please select target for Construct Planet order...
GameTactCommands 91                                    := Select Solar System
GameTactCommands 92                                    := Select Storm
GameTactCommands 93                                    := Select Star
GameTactCommands 94                                    := Select Vehicle
GameTactCommands 95                                    := Please select target for Launch Units order...
GameTactCommands 96                                    := Please select target for Recover Units order...
GameTactCommands 97                                    := Select Load Location
GameTactCommands 98                                    := Cannot Cloak
GameTactCommands 99                                    := Cloaking is prohibited by the terms of our treaties. 
GameTactCommands 100                                   := Cloaking is prohibited by the terms of our alliance. 
GameTactCommands 101                                   := Use Component
GameTactCommands 102                                   := Retrofit Vehicles
GameTactCommands 103                                   := Upgrade Queues
GeneralReports 1                                       := Filename:
GeneralReports 2                                       := Data File Error
GeneralReports 3                                       := File Missing
GeneralReports 4                                       := Could not load file:
GeneralReports 5                                       := Fighter
GeneralReports 6                                       := Satellite
GeneralReports 7                                       := Mine
GeneralReports 8                                       := Gunboat
GeneralReports 9                                       := Troop
GeneralReports 10                                      := Weapon Platform
GeneralReports 11                                      := Select Empire Name
GeneralReports 12                                      := Empire Names
GeneralReports 13                                      := Select Empire Type
GeneralReports 14                                      := Types
GeneralReports 15                                      := Select Emperor Name
GeneralReports 16                                      := Emperor Names
GeneralReports 17                                      := Select Emperor Title
GeneralReports 18                                      := Titles
GeneralReports 19                                      := Select Design Name File
GeneralReports 20                                      := Files
GeneralReports 21                                      := Select Minister Style
GeneralReports 22                                      := Styles
GeneralReports 23                                      := Select Planet Atmosphere
GeneralReports 24                                      := Atmospheres
GeneralReports 25                                      := Select Planet Type
GeneralReports 26                                      := Planet Types
GeneralReports 27                                      := Load Error
GeneralReports 28                                      := Unable to open
GeneralReports 29                                      := One Turn
GeneralReports 30                                      := Select Amount to Add
GeneralReports 31                                      := Amount
GeneralReports 32                                      := Select Source Address
GeneralReports 33                                      := IP Addresses
GeneralReports 34                                      := Select Host Address
GeneralReports 35                                      := Select Player Name
GeneralReports 36                                      := Player Names
GeneralSelection 1                                     := Select Empire Name
GeneralSelection 2                                     := Select Empire Type
GeneralSelection 3                                     := Select Emperor Name
GeneralSelection 4                                     := Select Emperor Title
GeneralSelection 5                                     := 
GeneralSelection 6                                     := Select Design Name File
GeneralSelection 7                                     := Select Race Name
GeneralSelection 8                                     := Select Physical Type
GeneralSelection 9                                     := Select Treaty Name
GeneralSelection 10                                    := Select Alliance Name
GeneralSelection 11                                    := Select Minister Style
GeneralSelection 12                                    := Select Vehicle Type
GeneralSelection 13                                    := Select Design Type
GeneralSelection 14                                    := Select Focus Area
GeneralSelection 15                                    := Select Queue Item List
GeneralSelection 16                                    := Select Engage Distance
GeneralSelection 17                                    := Select Damage Amount
GeneralSelection 18                                    := Select Prioritization
GeneralSelection 19                                    := None
GeneralSelection 20                                    := 1 second
GeneralSelection 21                                    := 2 seconds
GeneralSelection 22                                    := 5 seconds
GeneralSelection 23                                    := 10 seconds
GeneralSelection 24                                    := 15 seconds
GeneralSelection 25                                    := 20 seconds
GeneralSelection 26                                    := 30 seconds
GeneralSelection 27                                    := 45 seconds
GeneralSelection 28                                    := 60 seconds
GeneralSelection 29                                    := Select Time Interval
GeneralSelection 30                                    := Select Retreat Setting
GeneralSelection 31                                    := Select Strategy
GeneralSelection 32                                    := Select Retreat Movement
GeneralSelection 33                                    := Select Cargo Type
GeneralSelection 34                                    := Select Unit Types
GeneralSelection 35                                    := Select Attack Type
GeneralSelection 36                                    := Attack Move
GeneralSelection 37                                    := Move to the sector and attack enemies at that location.
GeneralSelection 38                                    := Attack Seek
GeneralSelection 39                                    := Select a specific target in the sector and seek after it. Your ships will follow the target as it moves and attempt to attack it. 
Global 1                                               := Star Explosion Center
Global 2                                               := Star Explosion Ring
Global 3                                               := Stellar Debris After Glow
Global 4                                               := Star Creation Glow
Global 5                                               := Spark 1
Global 6                                               := Spark 2
Global 7                                               := Spark 3
Global 8                                               := Spark 4
Global 9                                               := Spark 5
Global 10                                              := Spark 6
Global 11                                              := Spark 7
Global 12                                              := Spark 8
Global 13                                              := Spark 9
Global 14                                              := Spark 10
Global 15                                              := Spark 11
Global 16                                              := Spark 12
Global 17                                              := Spark 13
Global 18                                              := Spark 14
Global 19                                              := Spark 15
Global 20                                              := Spark 16
Global 21                                              := Weapon Explosion 2
Global 22                                              := Weapon Explosion 3
Global 23                                              := Weapon Explosion 4
Global 24                                              := Warp Point Clouds 001a
Global 25                                              := Warp Point Clouds 001b
Global 26                                              := Warp Point Clouds 001c
Global 27                                              := Warp Point Clouds 001d
Global 28                                              := Warp Point Center
Global 29                                              := Warp Point Expanding
Global 30                                              := Asteroids 1
Global 31                                              := Asteroids 2
Global 32                                              := Asteroids 3
Global 33                                              := Planet Explosion 1
Global 34                                              := Planet Explosion 2
Global 35                                              := Planet Explosion 3
Global 36                                              := Weapon Explosion 1
Global 37                                              := Weapon Explosion 2
Global 38                                              := Weapon Explosion 3
