=======================================================================================
STELLAR OBJECT TYPES DATA FILE
=======================================================================================

Maximum Stellar Object Types Allowed = 1000

Allowable Values for Physical Type: 
  None, Planet, Asteroids, Storm, Star, Warp Point, Destroyed Star, Comet

Allowable Values for Planet Size:
  Asteroids, Tiny, Small, Medium, Large, Huge

Allowable Values for Planet Physical Type:
  Rock, Ice, Gas Giant

Allowable Values for Planet Atmosphere:
  None, Methane, Oxygen, Hydrogen, Carbon Dioxide

NOTE: The following combinations of plant physical type and atmosphere are 
not allowed: Gas Giant x None.

Allowable Values for all other sizes:
  Tiny, Small, Medium, Large, Huge

Allowable Values for Star Age:
  Young, Average, Old, Ancient

Allowable Values for Star Color:
  Yellow, Red, Purple, Green, Blue, White, Orange

Allowable Values for Star Luminosity:
  Dim, Average, Bright

None           - Gray
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0002 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0002 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 272
Portrait Filename          := planet_moon_0002_large.bmp
Large Portrait Filename    := planet_moon_0002_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0003 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0003 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 277
Portrait Filename          := planet_moon_0003_large.bmp
Large Portrait Filename    := planet_moon_0003_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0004 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0004 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 282
Portrait Filename          := planet_moon_0004_large.bmp
Large Portrait Filename    := planet_moon_0004_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0005 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0005 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 287
Portrait Filename          := planet_moon_0005_large.bmp
Large Portrait Filename    := planet_moon_0005_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0006 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0006 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 292
Portrait Filename          := planet_moon_0006_large.bmp
Large Portrait Filename    := planet_moon_0006_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0007 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0007 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 297
Portrait Filename          := planet_moon_0007_large.bmp
Large Portrait Filename    := planet_moon_0007_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0008 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0008 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 302
Portrait Filename          := planet_moon_0008_large.bmp
Large Portrait Filename    := planet_moon_0008_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0009 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0009 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 307
Portrait Filename          := planet_moon_0009_large.bmp
Large Portrait Filename    := planet_moon_0009_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0010 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0010 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 312
Portrait Filename          := planet_moon_0010_large.bmp
Large Portrait Filename    := planet_moon_0010_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0011 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0011 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 317
Portrait Filename          := planet_moon_0011_large.bmp
Large Portrait Filename    := planet_moon_0011_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0012 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0012 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 322
Portrait Filename          := planet_moon_0012_large.bmp
Large Portrait Filename    := planet_moon_0012_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0013 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0013 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 327
Portrait Filename          := planet_moon_0013_large.bmp
Large Portrait Filename    := planet_moon_0013_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0014 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0014 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 332
Portrait Filename          := planet_moon_0014_large.bmp
Large Portrait Filename    := planet_moon_0014_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0015 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0015 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 337
Portrait Filename          := planet_moon_0015_large.bmp
Large Portrait Filename    := planet_moon_0015_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0016 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0016 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 342
Portrait Filename          := planet_moon_0016_large.bmp
Large Portrait Filename    := planet_moon_0016_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0017 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0017 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 347
Portrait Filename          := planet_moon_0017_large.bmp
Large Portrait Filename    := planet_moon_0017_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0018 Large
Physical Type              := Planet
XFile Class Name           := Planet Moon 0018 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 352
Portrait Filename          := planet_moon_0018_large.bmp
Large Portrait Filename    := planet_moon_0018_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0002 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0002 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 502
Portrait Filename          := planet_ven_0002_large.bmp
Large Portrait Filename    := planet_ven_0002_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0006 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0006 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 522
Portrait Filename          := planet_ven_0006_large.bmp
Large Portrait Filename    := planet_ven_0006_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0008 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0008 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 532
Portrait Filename          := planet_ven_0008_large.bmp
Large Portrait Filename    := planet_ven_0008_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0009 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0009 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 537
Portrait Filename          := planet_ven_0009_large.bmp
Large Portrait Filename    := planet_ven_0009_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0024 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0024 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 612
Portrait Filename          := planet_ven_0024_large.bmp
Large Portrait Filename    := planet_ven_0024_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0025 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0025 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 617
Portrait Filename          := planet_ven_0025_large.bmp
Large Portrait Filename    := planet_ven_0025_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0026 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0026 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 622
Portrait Filename          := planet_ven_0026_large.bmp
Large Portrait Filename    := planet_ven_0026_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Terr 0006 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0006 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 402
Portrait Filename          := planet_terr_0006_large.bmp
Large Portrait Filename    := planet_terr_0006_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0010 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0010 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 542
Portrait Filename          := planet_ven_0010_large.bmp
Large Portrait Filename    := planet_ven_0010_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0018 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0018 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 582
Portrait Filename          := planet_ven_0018_large.bmp
Large Portrait Filename    := planet_ven_0018_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0022 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0022 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 602
Portrait Filename          := planet_ven_0022_large.bmp
Large Portrait Filename    := planet_ven_0022_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0023 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0023 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 607
Portrait Filename          := planet_ven_0023_large.bmp
Large Portrait Filename    := planet_ven_0023_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Terr 0001 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0001 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 377
Portrait Filename          := planet_terr_0001_large.bmp
Large Portrait Filename    := planet_terr_0001_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0003 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0003 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 387
Portrait Filename          := planet_terr_0003_large.bmp
Large Portrait Filename    := planet_terr_0003_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0004 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0004 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 392
Portrait Filename          := planet_terr_0004_large.bmp
Large Portrait Filename    := planet_terr_0004_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0005 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0005 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 397
Portrait Filename          := planet_terr_0005_large.bmp
Large Portrait Filename    := planet_terr_0005_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0007 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0007 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 407
Portrait Filename          := planet_terr_0007_large.bmp
Large Portrait Filename    := planet_terr_0007_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0008 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0008 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 412
Portrait Filename          := planet_terr_0008_large.bmp
Large Portrait Filename    := planet_terr_0008_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0009 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0009 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 417
Portrait Filename          := planet_terr_0009_large.bmp
Large Portrait Filename    := planet_terr_0009_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0010 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0010 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 422
Portrait Filename          := planet_terr_0010_large.bmp
Large Portrait Filename    := planet_terr_0010_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0011 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0011 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 427
Portrait Filename          := planet_terr_0011_large.bmp
Large Portrait Filename    := planet_terr_0011_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0012 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0012 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 432
Portrait Filename          := planet_terr_0012_large.bmp
Large Portrait Filename    := planet_terr_0012_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0013 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0013 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 437
Portrait Filename          := planet_terr_0013_large.bmp
Large Portrait Filename    := planet_terr_0013_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0014 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0014 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 442
Portrait Filename          := planet_terr_0014_large.bmp
Large Portrait Filename    := planet_terr_0014_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0015 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0015 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 447
Portrait Filename          := planet_terr_0015_large.bmp
Large Portrait Filename    := planet_terr_0015_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
